pid,slug,grid,title,htitle,subject,link,site_link_text,term,class,tutor,about,abstract,wd,level_to_q,published,pub.site,post.dir,tags,date,write.workflow,quarto,task,name,description
14,platonov,,,,12203.platonov.baugrube,../../essais/10277_platonov,open essai,SoSe20,Arbeiter und Literatur,Chr. Schäfer,12203.platonov.baugrube,,,-9,1,DC-LX,avl,,,0,0,,platonov,12203.platonov.baugrube
15,network-uebung,,,,meyerhoff network visualisation,../../essais/12013_meyerhoff_expo,open visualisation,WS22,variationslinguistik,rosemeyer,meyerhoff network visualisation,,,-9,1,DC-LX,linguistics,,,0,0,,network-uebung,meyerhoff network visualisation
16,yani,,,,12023_yani_expo,../../essais/12023_yani,page,WS22,corpus linguistics,rosemeyer,class project: yani[final],,,-9,1,DC-LX,linguistics,,,0,0,,yani,class project: yani[final]
17,meindl-uebung,,12042.meindl übungen,12042.meindl übungen,12042.meindl übungen,../../essais/12042_meindl,page,WS22,corpus linguistics,rosemeyer,meindl chi test essai,,,-9,1,DC-LX,linguistics,"chi test,statistics",2022-02-12,0,0,,meindl-uebung,meindl chi test essai
18,negation,,12052.VAR.schwenter.NEG,12052.VAR.schwenter.NEG,12052.VAR.schwenter.NEG,../../essais/negation,open poster,WS22,variationslinguistik,rosemeyer,"brazilian portuguese, negation",,,-9,1,DC-LX,linguistics,,,0,0,,negation,"brazilian portuguese, negation"
19,int002,,12025.INT / conversation analysis,12025.INT / conversation analysis,12025.INT / conversation analysis,../../essais/INT_UE002,page,WS22,interaktionslinguistik,lanwer,transkriptionsübung,,,-9,1,DC-LX,linguistics,"exmaralda,transcription",2022-01-12,0,0,,int002,transkriptionsübung
20,nprg004-eval,,NPRG 004,NPRG 004,audio samples spektrum analysis,../../essais/eval/nprg/nprg004_eval,analysis page,WS23,neuropragmatik,pulvermüller,audio spektrum analysis,,eval/nprg-eval,3,1,DC-LX,linguistics,"praat,spektrum analysis,neuropragmatics",2023-02-09,0,0,,nprg004-eval,audio spektrum analysis
21,survey-eval,,NPRG rating study,NPRG rating study,NEUROPRAGMATIK rating studie,../../essais/eval/nprg/survey_eval,survey study,WS23,neuropragmatik,pulvermüller,bewertungsstudie,,eval/nprg-eval,3,1,DC-LX,linguistics,"neuropragmatics,rating study",2023-01-25,0,0,,survey-eval,bewertungsstudie
22,paper-dyn-010,,DYN responsepaper UWolf,DYN responsepaper UWolf,dynamiken postdeutscher gegenwartslyrik / uljana wolf response paper,../../essais/papers/010,link to pdf,SoSe22,dynamiken postdeutscher gegenwartslyrik,chiara liso,dynamiken postdeutscher gegenwartslyrik,,GitHub/DYN_ss22,,,DC-LX,AVL,"poetry,gegenwartslyrik,avl",2022-07-28,0,0,responsepaper uljana wolf,paper-dyn-010,
23,paper-dd-011,,12282.digitale dramenanalyse HA,12282.digitale dramenanalyse HA,"digitale dramenanalyse, term paper",../../essais/papers/011,link to term paper,SoSe22,digitale dramenanalyse,fischer,digitale dramenanalyse,,GitHub/DD_ss22,,,DC-LX,AVL,"german drama,DH,TEI",2022-10-03,0,0,term paper,paper-dd-011,
24,paper-12-hux21,,12313.HUX2021 HA,12313.HUX2021 HA,psycholinguistics: schizophrenie and figurative language,../../essais/papers/012,link to pdf,SoSe20,"soziolinguistik, empirische methoden",meinschäfer/schirakowski,psycholinguistik self paced reading experiment,,GitHub/hux2021,,,DC-LX,linguistics,"psychoLX,empirik,experiment,figurative language,metaphors",2022-08-01,0,0,term paper experiment documentation,paper-12-hux21,
25,dcl-pc,top,16067.DCL.class,16067.DCL.class,DCL Site / class presentation,../../essais/lx-public/HA/DCL/pages,project view,WS25,linguistik und öffentlichkeit,stefanowitsch,"DCL site proposal, introduction. on this pages we briefly show how we imagine a lightweight alternative to the currently used CMS for the website of the DCL. to demonstrating functionality, this here site assembles several blog posts as corresponding sample DCL projects display.",,lx-public/HA/DCL/pages,4,1,DC-LX,linguistics,,2026-02-06,0,0,class presentation of project,dcl-pc,DCL proposal introduction 
